"monsternumber","monstername","monster_id","locx","locy","mapid","type","marterial","note"
"408","アーク某","7123","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"409","","1","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"410","","1","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"411","アンタラス","900013","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"412","ペーパーマン","900169","34038","32159","4","0","140100","象牙の塔"
"413","ストーン ゴーレム","900058","34038","32159","4","0","140100","象牙の塔"
"414","アイアン ゴーレム","900060","34038","32159","4","0","140100","象牙の塔"
"415","ゼラチン キューブ","900061","34038","32159","4","0","140100","象牙の塔"
"416","リビング アーマー","900062","34038","32159","4","0","140100","象牙の塔"
"417","リビング アーマー","900063","34038","32159","4","0","140100","象牙の塔"
"418","ダンシング ソード","900064","34038","32159","4","0","140100","象牙の塔"
"419","ボール ライトニング","900065","34038","32159","4","0","140100","象牙の塔"
"420","ミミック","900059","34038","32159","4","0","140100","象牙の塔"
"421","エルダー","900066","34038","32159","4","0","140100","象牙の塔"
"422","キメラ","900067","34038","32159","4","0","140100","象牙の塔"
"423","ラミア","900068","34038","32159","4","0","140100","象牙の塔"
"424","ブラック エルダー","900069","34038","32159","4","0","140100","象牙の塔"
"425","ダークウィザード","900070","34038","32159","4","0","140100","象牙の塔"
"426","シルエット","900072","34038","32159","4","0","140100","象牙の塔"
"427","ゴースト","900073","34038","32159","4","0","140100","象牙の塔"
"428","","1","34038","32159","4","0","140100","象牙の塔"
"429","","1","34038","32159","4","0","140100","象牙の塔"
"430","","1","34038","32159","4","0","140100","象牙の塔"
"431","ハーディンの分身","900076","34038","32159","4","0","140100","象牙の塔"
"432","デーモン","45649","34038","32159","4","0","140100","象牙の塔"
"433","バルログの追従者","900077","34038","32159","4","0","140100","象牙の塔"
"434","レッサー デーモン","900079","34038","32159","4","0","140100","象牙の塔"
"435","ガーゴイル","900081","34038","32159","4","0","140100","象牙の塔"
"436","バフォメットの分身","900078","34038","32159","4","0","140100","象牙の塔"
"437","パーサズ","900080","34038","32159","4","0","140100","象牙の塔"
"438","バルログの分身","900083","34038","32159","4","0","140100","象牙の塔"
"439","デーモンの分身","900082","34038","32159","4","0","140100","象牙の塔"
"440","混沌の司祭","45543","34254","32194","4","0","140100","影の神殿"
"441","混沌の司祭","45576","34254","32194","4","0","140100","影の神殿"
"442","混沌の司祭","45599","34254","32194","4","0","140100","影の神殿"
"443","混沌","45625","34254","32194","4","0","140100","影の神殿"
"444","死の司祭","45536","34254","32194","4","0","140100","影の神殿"
"445","死の司祭","45542","34254","32194","4","0","140100","影の神殿"
"446","死の司祭","45597","34254","32194","4","0","140100","影の神殿"
"447","死の司祭","45598","34254","32194","4","0","140100","影の神殿"
"448","死の司祭","45575","34254","32194","4","0","140100","影の神殿"
"449","死","45674","34254","32194","4","0","140100","影の神殿"
"450","ヤヒの近衛兵","45632","34254","32194","4","0","140100","影の神殿"
"451","ヤヒの近衛兵","45623","34254","32194","4","0","140100","影の神殿"
"452","ヤヒの近衛兵","45631","34254","32194","4","0","140100","影の神殿"
"453","ヤヒの近衛兵","45596","34254","32194","4","0","140100","影の神殿"
"454","ヤヒの近衛兵","45624","34254","32194","4","0","140100","影の神殿"
"455","ヤヒの近衛兵","45628","34254","32194","4","0","140100","影の神殿"
"456","ヤヒの近衛兵","45629","34254","32194","4","0","140100","影の神殿"
"457","ヤヒの近衛兵","45630","34254","32194","4","0","140100","影の神殿"
"458","ヤヒ","45675","34254","32194","4","0","140100","影の神殿"
"459","ディストーション ドレッドスパイダー","7310010","32730","32798","101","1","40104","傲慢の塔1階テレポートスクロール"
"460","ディストーション メデューサ","7310011","32730","32798","101","1","40104","傲慢の塔1階テレポートスクロール"
"461","ディストーション ラミア","7310012","32730","32798","101","1","40104","傲慢の塔1階テレポートスクロール"
"462","ディストーション キメラ","7310013","32730","32798","101","1","40104","傲慢の塔1階テレポートスクロール"
"463","ディストーション コカトリス","7310014","32730","32798","101","1","40104","傲慢の塔1階テレポートスクロール"
"464","ディストーション ゼニス クイーン","7310015","32730","32798","101","1","40104","傲慢の塔1階テレポートスクロール"
"466","ミストラスト ダイアーウルフ","7310016","32730","32802","102","1","40105","傲慢の塔2階テレポートスクロール"
"467","ミストラスト ミミック","7310017","32730","32802","102","1","40105","傲慢の塔2階テレポートスクロール"
"468","ミストラスト ダンシング ソード","7310018","32730","32802","102","1","40105","傲慢の塔2階テレポートスクロール"
"469","ミストラスト ゲイザー","7310019","32730","32802","102","1","40105","傲慢の塔2階テレポートスクロール"
"470","ミストラスト サキュバス","7310020","32730","32802","102","1","40105","傲慢の塔2階テレポートスクロール"
"471","ミストラスト シアー","7310021","32730","32802","102","1","40105","傲慢の塔2階テレポートスクロール"
"472","ホラー ファイアー エッグ","7310022","32726","32802","103","1","40105","傲慢の塔3階テレポートスクロール"
"473","ホラー ケルベロス","7310023","32726","32802","103","1","40106","傲慢の塔3階テレポートスクロール"
"474","ホラー ナイトメア","7310024","32726","32802","103","1","40106","傲慢の塔3階テレポートスクロール"
"475","ホラー レッサー デーモン","7310025","32726","32802","103","1","40106","傲慢の塔3階テレポートスクロール"
"476","ホラー イフリート","7310026","32726","32802","103","1","40106","傲慢の塔3階テレポートスクロール"
"477","ホラー アグニ","7310027","32726","32802","103","1","40106","傲慢の塔3階テレポートスクロール"
"478","フィア バンパイア","7310028","32726","32802","103","1","40106","傲慢の塔3階テレポートスクロール"
"479","デス ゾンビ","7310029","32620","32858","104","1","40107","傲慢の塔4階テレポートスクロール"
"480","デス スパルトイ","7310030","32620","32858","104","1","40107","傲慢の塔4階テレポートスクロール"
"481","デス スケルトン ファイター","7310031","32620","32858","104","1","40107","傲慢の塔4階テレポートスクロール"
"482","デス スケルトン マークスマン","7310032","32620","32858","104","1","40107","傲慢の塔4階テレポートスクロール"
"483","デス スケルトン ガード","7310033","32620","32858","104","1","40107","傲慢の塔4階テレポートスクロール"
"484","デス ゾンビ ロード","7310034","32620","32858","104","1","40107","傲慢の塔4階テレポートスクロール"
"485","ヘル ゴースト","7310035","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"486","ヘル ゴースト","7310036","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"487","ヘル ネクロマンサー","7310037","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"488","ヘル アイアン ゴーレム","7310038","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"489","ヘル レッサードラゴン","7310039","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"490","ヘル ボーンドラゴン","7310040","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"491","ヘル クーガー","7310041","32602","32866","105","1","40108","傲慢の塔5階テレポートスクロール"
"492","イモータル グール","7310042","32611","32862","106","1","40109","傲慢の塔6階テレポートスクロール"
"493","不死のゾンビ ソルジャー","7310043","32611","32862","106","1","40109","傲慢の塔6階テレポートスクロール"
"494","不死のゾンビ ウィザード","7310044","32611","32862","106","1","40109","傲慢の塔6階テレポートスクロール"
"495","不死のゾンビ ジェネラル","7310045","32611","32862","106","1","40109","傲慢の塔6階テレポートスクロール"
"496","イモータル マミー ロード","7310046","32611","32862","106","1","40109","傲慢の塔6階テレポートスクロール"
"497","ブルータル ライカンスロープ","7310047","32618","32865","107","1","40110","傲慢の塔7階テレポートスクロール"
"498","ブルータル サーベル タイガー","7310048","32618","32865","107","1","40110","傲慢の塔7階テレポートスクロール"
"499","ブルータル ホーン ケルベロス","7310049","32618","32865","107","1","40110","傲慢の塔7階テレポートスクロール"
"500","ブルータル アシタジオ","7310050","32618","32865","107","1","40110","傲慢の塔7階テレポートスクロール"
"501","ブルータル アイリス","7310051","32618","32865","107","1","40110","傲慢の塔7階テレポートスクロール"
"502","ダーク バーニング アーチャー","7310052","32602","32866","108","1","40111","傲慢の塔8階テレポートスクロール"
"503","ダーク バーニング ウォリアー","7310053","32602","32866","108","1","40111","傲慢の塔8階テレポートスクロール"
"504","ダーク ブラックナイト","7310054","32602","32866","108","1","40111","傲慢の塔8階テレポートスクロール"
"505","ダーク サキュバス クイーン","7310055","32602","32866","108","1","40111","傲慢の塔8階テレポートスクロール"
"506","ダーク ナイトバルド","7310056","32602","32866","108","1","40111","傲慢の塔8階テレポートスクロール"
"507","フォーエバー スケルトン マークスマン","7310057","32613","32866","109","1","40112","傲慢の塔9階テレポートスクロール"
"508","フォーエバー スケルトン ファイター","7310058","32613","32866","109","1","40112","傲慢の塔9階テレポートスクロール"
"509","フォーエバー スケルトン ガード","7310059","32613","32866","109","1","40112","傲慢の塔9階テレポートスクロール"
"510","フォーエバー スケルトン ナイト","7310060","32613","32866","109","1","40112","傲慢の塔9階テレポートスクロール"
"511","フォーエバー リッチ","7310061","32613","32866","109","1","40112","傲慢の塔9階テレポートスクロール"
"512","パート アシタジオ","7310062","32730","32802","110","1","40113","傲慢の塔10階テレポートスクロール"
"513","パート サキュバス クイーン","7310063","32730","32802","110","1","40113","傲慢の塔10階テレポートスクロール"
"514","パート リヴァイアサン","7310064","32730","32802","110","1","40113","傲慢の塔10階テレポートスクロール"
"515","パート アスモデウス","7310065","32730","32802","110","1","40113","傲慢の塔10階テレポートスクロール"
"516","パート ウグヌス","7310066","32730","32802","110","1","40113","傲慢の塔10階テレポートスクロール"
"517","ゼニス クイーン","7310067","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"518","シアー","7310068","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"519","バンパイア","7310069","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"520","ゾンビ ロード","7310070","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"521","クーガー","7310071","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"522","マミー ロード","7310072","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"523","アイリス","7310073","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"524","ナイトバルド","7310074","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"525","リッチ","7310075","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"526","ウグヌス","7310076","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"527","グリムリーパー","45673","32638","32806","111","1","40114","傲慢の塔頂上テレポートスクロール"
"528","コラプト プリースト","45570",,,,,,"象牙の塔"
"529","コラプト プリースト","45571",,,,,,"象牙の塔"
"530","コラプト プリースト","45582",,,,,,"象牙の塔"
"531","コラプト プリースト","45587",,,,,,"象牙の塔"
"533","堕落","45685","0","0","0",,,"象牙の塔"
"534","混沌の信徒","45232",,,,,,"象牙の塔"
"535","混沌の信徒","45354",,,,,,"象牙の塔"
"536","混沌の信徒","45491",,,,,,"象牙の塔"
"537","","1",,,,,,"象牙の塔"
"540","オーテュ","203043","33152","32942","4","0","140100","暗黒竜の傷痕"
"541","テューポン","203049","33152","32942","4","0","140100","暗黒竜の傷痕"
"542","ダーク フォレスター","203044","33152","32942","4","0","140100","暗黒竜の傷痕"
"543","ブラック タイガー","203045","33152","32942","4","0","140100","暗黒竜の傷痕"
"544","ヘルバウンド","203046","33152","32942","4","0","140100","暗黒竜の傷痕"
"545","ヘルクリーチャー","203050","33152","32942","4","0","140100","暗黒竜の傷痕"
"546","クリムゾン ドレイク","203051","33152","32942","4","0","140100","暗黒竜の傷痕"
"547","闇の復讐者","203047","33152","32942","4","0","140100","暗黒竜の傷痕"
"548","ブラッディ ナイト","203042","33152","32942","4","0","140100","暗黒竜の傷痕"
"549","ダーク ロード","203048","33152","32942","4","0","140100","暗黒竜の傷痕"
"550","ファイアホーン","7310090","33609","32414","4","0","140100","火竜の巣"
"551","マグマゴーレム","7310091","33608","32422","4","0","140100","火竜の巣"
"552","古代の亀裂ガーディアン","707002","33431","33499","4","0","140100","忘れられた島"
"553","裏切り者クローレンス","707020","33431","33499","4","0","140100","忘れられた島"
