"npcid","normal_action","caotic_action","teleport_url","teleport_urla"
"71056","simizz1","simizz1","",""
"71057","doil1","doilc","",""
"71058","ratsyu1","ratsyu1","",""
"71059","rudian1a","rudian1a","",""
"71060","resta1","resta1","",""
"71061","cadmus1","cadmus1","",""
"71062","kamit1","kamit1","",""
"71063","maptbox0","maptbox0","",""
"71064","maptbox0","maptbox0","",""
"71065","maptbox0","maptbox0","",""
"71066","maptbox0","maptbox0","",""
"71067","maptbox0","maptbox0","",""
"71068","maptbox0","maptbox0","",""
"71069","maptbox0","maptbox0","",""
"71070","maptbox0","maptbox0","",""
"71071","maptbox0","maptbox0","",""
"71072","maptbox0","maptbox0","",""
"71073","maptbox0","maptbox0","",""
"71074","lelder0","lelder0","",""
"71075","llizard1a","llizard1a","",""
"71076","ylizardb","ylizardb","",""
"71077","invest1","invest1","",""
"71078","usender1","usender1","",""
"71079","ubuy","ubuy1","",""
"71080","amisoo1","amisoo1","",""
"71081","blackkey1","blackkey1","",""
"71082","blackkey2","blackkey2","",""
"71083","blackkey3","blackkey3","",""
"71084","blackkey4","blackkey4","",""
"71085","redkey1","redkey1","",""
"71086","redkey2","redkey2","",""
"71087","redkey3","redkey3","",""
"71088","redkey4","redkey4","",""
"71089","francu1","francu001","",""
"71090","jcrystal0","jcrystal0","",""
"71091","jcrystall0","jcrystall0","",""
"71108","chaotictp1","chaotictp1","",""
"71109","lawfultp1","lawfultp1","",""
"71110","caexplorer1","caexplorer1","",""
"71111","cahunterone1","cahunterone1","",""
"71112","cahuntertwo1","cahuntertwo1","",""
"71113","clalchemist1","clalchemist1","",""
"71114","sialchemist1","sialchemist1","",""
"71115","inforaden1","inforaden1","",""
"71116","agelder1","agelder1","",""
"71117","aggeneral1","aggeneral1","",""
"71118","talkingoum1","talkingoum1","",""
"71119","ataroze","ataroze","",""
"71120","rian1","rian1","",""
"71121","leonard1","leonard1","",""
"71122","fesco1","fesco1","",""
"71123","rubo1","rubo1","",""
"71124","alri1","alri1","",""
"71125","adelio","adelio","",""
"71126","eris1","eris1","",""
"71127","scwaru1","scwaru1","",""
"71128","perita1","perita1","",""
"71129","rumtis1","rumtis1","",""
"71130","rabla","rabla","",""
"71131","rabor","rabor","",""
"71132","woumfive1","woumfive1","",""
"71133","woumone1","woumone1","",""
"71134","woumtwo1","woumtwo1","",""
"71135","woumthir1","woumthir1","",""
"71136","woumele1","woumele1","",""
"71137","woumseven1","woumseven1","",""
"71138","woumnine1","woumnine1","",""
"71139","woumeight1","woumeight1","",""
"71140","woumten1","woumten1","",""
"71141","moumthree2","moumthree2","",""
"71142","moumtwo2","moumtwo2","",""
"71143","woumthree1","woumthree1","",""
"71144","woumtwel1","woumtwel1","",""
"71145","moumone2","moumone2","",""
"71146","midoum1","midoum1","",""
"71147","cutoum","cutoum","",""
"71148","eoumone1","eoumone1","",""
"71149","soumthree1","soumthree1","",""
"71150","soumone1","soumone1","",""
"71151","soumtwo1","soumtwo1","",""
"71152","stoumone1","stoumone1","",""
"71153","stoumthree1","stoumthree1","",""
"71154","stoumtwo1","stoumtwo1","",""
"71155","eoumtwo1","eoumtwo1","",""
"71156","prisondef1","prisondef1","",""
"71157","prisondef4","prisondef4","",""
"71158","prisondef5","prisondef5","",""
"71159","prisondef9","prisondef9","",""
"71160","prisondef6","prisondef6","",""
"71161","prisondef7","prisondef7","",""
"71162","prisondef8","prisondef8","",""
"71163","yastin1","yastin1","",""
"71164","lance1","lance1","",""
"71165","xestin1","xestin1","",""
"71166","guardin1","guardin1","",""
"71167","frim2","frim2","",""
"71168","dantes","dantes","",""
"71169","marbes1","marbes1","",""
"71170","clorence","clorence","",""
"71171","debow1","debow1","",""
"71172","dethief1","dethief1","",""
"71173","degeneral1","degeneral1","",""
"71174","desword1","desword1","",""
"71175","Ep5event16","Ep5event16","",""
"71176","adummy1","adummy1","",""
"71177","adummy1","adummy1","",""
"71178","ru1","ru1","",""
"71179","dh1","dh1","",""
"71180","jp1","jp1","",""
"71181","my2","my2","",""
"71182","sm2","sm2","",""
"71184","gdummy1","gdummy1","",""
"71187","diadummy1","diadummy1","",""
"71188","diadummy1","diadummy1","",""
"71189","diaguard1","diaguard1","",""
"71190","jericho1","jericho1","",""
"71191","becky1","becky1","",""
"71192","carmel1","carmel1","",""
"71193","chase1","chase1","",""
"71194","aurora1","aurora1","",""
"71195","winston1","winston1","",""
"71196","alfred","alfred1","",""
"71197","endel1","endel1","",""
"71198","tion1","tion1","",""
"71199","jeron1","jeron1","",""
"71200","pieta1","pieta1","",""
"80010","aprincess1","aprincess1","aprincess2",""
"80019","cold1","cold1","",""
"80020","cold1","cold1","",""
"80021","cold1","cold1","",""
"80022","cold1","cold1","",""
"80023","cold1","cold1","",""
"80024","cold1","cold1","",""
"80025","cold1","cold1","",""
"80026","cold1","cold1","",""
"80027","cold1","cold1","",""
"80028","cold1","cold1","",""
"80029","cold1","cold1","",""
"80030","cold1","cold1","",""
"80031","cold1","cold1","",""
"80032","cold1","cold1","",""
"80033","cold1","cold1","",""
"80034","cold1","cold1","",""
"80035","cold1","cold1","",""
"80036","cold1","cold1","",""
"80037","cold1","cold1","",""
"80038","cold1","cold1","",""
"80039","cold1","cold1","",""
"80040","cold1","cold1","",""
"80041","cold1","cold1","",""
"80042","cold1","cold1","",""
"80043","cold1","cold1","",""
"80044","cold1","cold1","",""
"80045","cold1","cold1","",""
"80047","uhelp1","uhelp1","",""
"80048","entgate","entgate","",""
"80049","betray12","betray12","",""
"80050","meet101","meet101","",""
"80051","qyahee","qyahee","",""
"80052","u_hunt","u_hunt","",""
"80053","alice_no","alice_no","",""
"80054","lapyahee","lapyahee","",""
"80055","uamulet0","uamulet0","",""
"80056","infamous12","infamous12","",""
"80057","alfons1","alfons1","",""
"80058","cpass01","cpass01","cpass01",""
"80059","wpass05","wpass05","wpass05",""
"80060","wpass05","wpass05","wpass05",""
"80061","wpass05","wpass05","wpass05",""
"80062","wpass05","wpass05","wpass05",""
"80063","gpass01","gpass01","gpass01",""
"80064","meet001","meet001","",""
"80065","uturn0","uturn0","",""
"80066","betray01","betray01","",""
"80067","minicod08","minicod08","",""
"80068","fakebarlog1","fakebarlog1","",""
"80069","ldemon1","ldemon1","",""
"80070","tldemon1","tldemon1","",""
"80071","lring0","lring0","",""
"80072","lsmith0","lsmith0","",""
"80073","l_hunt","l_hunt","",""
"80074","infamous02","infamous02","",""
"80075","vehikeu1","vehikeu1","",""
"80076","voyager1","voyager1","",""
"80077","aldran1","aldran1","",""
"80078","arka1","arka1","",""
"80079","keplisha1","keplisha4","keplisha2",""
"80080","f_elder","f_elder","",""
"80081","f_grandma1","f_grandma1","",""
"80082","fk_in_1","fk_in_1","",""
"80083","fk_out_1","fk_out_1","",""
"80084","rparum","rparum","",""
"80085","duo","duo","",""
"80086","kusan","kusan","",""
"80087","datu","datu","",""
"80088","petmatcher","petmatcher","",""
"80089","medalbuyer","medalbuyer","",""
"80090","rakuki1","rakuki1","",""
"80091","rrafons","rrafons","",""
"80092","rjaint1","rjaint1","",""
"80093","rjyta1","rjyta1","",""
"80094","altar1","altar1","",""
"80095","rostin1","rostin1","",""
"80096","sharon1","sharon1","",""
"80097","rryman","rryman","",""
"80098","rfarbo1","rfarbo1","",""
"80099","rarson1","rarson8","rarson11",""
"80100","maijin1","maijin1","",""
"80101","kuen1","kuen1","",""
"80102","fillis1","fillis3","",""
"80103","auction1","auction1","",""
"80104","horseseller1","horseseller0","",""
"80105","horserestore","horserestore","",""
"80127","cook1","cook1","",""
"80128","cointrader","cointrader","",""
"81002","cold1","cold1","",""
"81003","cold1","cold1","",""
"81004","cold1","cold1","",""
"81005","cold1","cold1","",""
"81006","pandora","pandora","",""
"81007","cold1","cold1","",""
"81008","pandora","pandora","",""
"81009","cold1","cold1","",""
"81010","cold1","cold1","",""
"81011","cold1","cold1","",""
"81012","cold1","cold1","",""
"81013","cold1","cold1","",""
"81014","cold1","cold1","",""
"81015","cold1","cold1","",""
"81016","cold1","cold1","",""
"81017","cold1","cold1","",""
"81018","cold1","cold1","",""
"81019","cold1","cold1","",""
"81020","cold1","cold1","",""
"81021","cold1","cold1","",""
"81022","cold1","cold1","",""
"81023","cold1","cold1","",""
"81024","cold1","cold1","",""
"81025","cold1","cold1","",""
"81026","cold1","cold1","",""
"81027","cold1","cold1","",""
"81028","cold1","cold1","",""
"81029","cold1","cold1","",""
"81105","stoenm4","stoenm4","",""
"81110","cold1","cold1","",""
"81112","rader1","rader1","",""
"81113","hagutin1","hagutin1","",""
"81114","fsflame1","fsflame1","",""
"81115","adjutant1","adjutant1","",""
"81118","bsoul1","bsoul1","",""
"81119","laryaide1","laryaide1","",""
"81120","kalbass1","kalbass1","",""
"81121","pielemental","pielemental","",""
"81123","en2551-0","en2551-0","",""
"81124","en2556","en2556","",""
"81155","olle1","olle1","olle1",""
"81156","dfguard1","dfguard1","dfguard1",""
"81200","nobelt","nobelt","",""
"81202","minitos08","minitos08","",""
"81203","minitos3","minitos3","",""
"81204","minitos3","minitos3","",""
"81205","minitos2","minitos2","",""
"81206","minitos2","minitos2","",""
"81207","minitos1","minitos1","",""
"81208","minibrob01","minibrob01","",""
"81210","pctel1","pctel1","pctel1",""
"170017","bs_01","bs_01","",""
"200000","cold1","cold1","",""
"200001","pandora","pandora","",""
"200002","pandora","pandora","",""
"200003","pandora","pandora","",""
"200004","pandora","pandora","",""
"200005","pandora","pandora","",""
"200006","pandora","pandora","",""
"200007","camus","camus","",""
"200014","baseReset","baseReset","",""
"200015","candleg1","candleg1","",""
"200016","joegolem17","joegolem17","",""
"200060","suspicious1","suspicious1","",""
"200061","suspicious1a","suspicious1a","",""
"200062","suspicious1b","suspicious1b","",""
"200063","suspicious1c","suspicious1c","",""
"200075","sharna1","sharna1","",""
"200201","joegolem","joegolem","",""
"202056","arrada","arrada","",""
"202057","tel_lala1","tel_lala1","",""
"202065","archgunter1","archgunter1","",""
"202066","clgunter4","clgunter4","",""
"300000","dufo","dufo","",""
"500062","joegolem21","joegolem21","",""
"500063","tikalgate1","tikalgate1","",""
"500064","itexplorer","itexplorer","",""
"505011","fg_ziff","fg_ziff","fg_ziff",""
"600005","zybril1","zybril1","",""
"777017","kingdevsum16","kingdevsum16","",""
"777848","merin1","merin1 ","",""
"777849","killton1","killton1","",""
"777850","harin1","harin1","",""
"777854","zigpride1","zigpride1","",""
"810020","cold1","cold1","",""
"810080","cold1","cold1","",""
"810852","","","",""
"900000","crafttable","crafttable","",""
"900001","crafttable","crafttable","",""
"900002","crafttable","crafttable","",""
"900003","crafttable","crafttable","",""
"900004","crafttable","crafttable","",""
"900005","lind_veil","lind_veil","",""
"900009","ilbakiel","ilbakiel","",""
"900010","familyed","familyed","",""
"900015","dsecret3","dsecret3","",""
"900016","dwfmerchant","dwfmerchant","",""
"900017","bankoo1","bankoo1","",""
"900018","hankoo1","hankoo2","",""
"900041","kymsamoo","kymsamoo","",""
"900042","beasamoo","beasamoo","",""
"900047","suspicious1","suspicious1","",""
"900048","suschef1","suschef1","",""
"900056","orentel1","orentel1","orentel2",""
"900057","adonis1","adonis1","adonis2","adonis2"
"900084","lascube1","lascube1","",""
"900085","lascube2","lascube2","",""
"900086","lascube3","lascube3","",""
"900087","lascube4","lascube4","",""
"900088","bs_01","bs_01","",""
"900089","omantel1","omantel1","omantel1",""
"900090","omantel","omantel","",""
"900091","omantel","omantel","",""
"900092","omantel","omantel","",""
"900093","omantel","omantel","",""
"900094","omantel","omantel","",""
"900095","omantel","omantel","",""
"900096","omantel","omantel","",""
"900097","omantel","omantel","",""
"900098","omantel","omantel","",""
"900104","newsboy","newsboy","",""
"900105","maetnob","maetnob","maetnob1",""
"900106","rabbita1","rabbita1","",""
"900107","rabbitb1","rabbitb1","",""
"900135","j_html00","j_html00","",""
"900136","id0","id0","",""
"900137","j_ep001","j_ep001","",""
"900143","j_l_out00","j_l_out00","",""
"900146","hugrint1","hugrint1","",""
"900169","j_paper","j_paper","",""
"900170","dunsign1","dunsign1","",""
"900171","pandora","pandora","",""
"900172","ashur","ashur","ashur3",""
"900173","pandora","pandora","",""
"900174","ashur","ashur","ashur3",""
"900175","tutorm","tutorm4","",""
"900181","guaderstone","guaderstone","",""
"900185","highpass41","highpass41","",""
"900186","hpass1","hpass1 ","",""
"900187","highdaily1","highdaily1 ","",""
"900188","highdailyb1","highdailyb1 ","",""
"1000001","cave1","cave1","",""
"1000002","dvdgate1","dvdgate1","",""
"1000003","teldkev02","teldkev02","",""
"1000004","hyosue4","hyosue4","",""
"1231231","","","",""
"3000000","jepar1","jepar2","",""
"3000001","crafttable","crafttable","",""
"3000002","elas1","elas1","",""
"3000003","prokel1","prokel1","",""
"3000004","talrion1","talrion1","",""
"3000006","crafttable","crafttable","",""
"3100000","sbial1","sbial2","",""
"3100001","crafttable","crafttable","",""
"3100002","azel1","azel1","",""
"3100003","rark1","rark1","",""
"3100004","silrein1","silrein1","",""
"3200000","feaena2","feaena2","",""
"3200001","asha2","asha2","",""
"3200012","sciairen1","sciairen2","",""
"3200013","feathercol1","feathercol1","",""
"3200014","subsusp1","subsusp1","",""
"3200015","aghvin","aghvin","",""
"3200016","agsiin","agsiin","",""
"3310015","vdeath2","vdeath2","",""
"3310016","pandora","pandora","",""
"3310018","vdeath","vdeath","",""
"4039009","shamansael1","shamansael1","",""
"4200018","expgive","expgive","",""
"5000000","suspicious1","suspicious1","",""
"5000001","ashur","ashur","ashur3",""
"5000002","ashur","ashur","ashur3",""
"5000003","ashur","ashur","ashur3",""
"5000004","ashur","ashur","ashur3",""
"5000005","ashur","ashur","ashur3",""
"5000006","ashur","ashur","",""
"5000007","ashur","ashur","",""
"5100017","kingdevsum16","kingdevsum16","",""
"5100018","","","",""
"6000000","2008illu","2008illu2","",""
"6000001","2008hallo1","2008hallo1","",""
"6000002","pcsuprise","pcsuprise","",""
"6000007","tauga","tauga","",""
"6000008","targa","targa","",""
"6000009","tadga","tadga","",""
"6000010","tahuga","tahuga","",""
"6000011","tatga","tatga","",""
"6000012","tasga","tasga","",""
"6000013","tamiga","tamiga","",""
"6000014","gr_mammon1","gr_mammon1","gr_mammon3",""
"6000015","adenshadow1","adenshadow1","",""
"6000016","adenflora1","adenflora1","adenflora2",""
"6100000","cold1","cold1","",""
"6100001","cold1","cold1","",""
"6100002","cold1","cold1","",""
"6100003","cold1","cold1","",""
"6100004","cold1","cold1","",""
"6100005","cold1","cold1","",""
"6100006","cold1","cold1","",""
"6100007","cold1","cold1","",""
"6100008","cold1","cold1","",""
"6100009","cold1","cold1","",""
"6100010","cold1","cold1","",""
"6100011","cold1","cold1","",""
"6100012","cold1","cold1","",""
"6100013","cold1","cold1","",""
"6100014","cold1","cold1","",""
"6100015","cold1","cold1","",""
"6100016","cold1","cold1","",""
"6100017","cold1","cold1","",""
"6100018","cold1","cold1","",""
"6100019","cold1","cold1","",""
"6100020","cold1","cold1","",""
"6100021","cold1","cold1","",""
"6100022","cold1","cold1","",""
"6100023","cold1","cold1","",""
"6100024","cold1","cold1","",""
"6100025","cold1","cold1","",""
"6100026","cold1","cold1","",""
"6100027","cold1","cold1","",""
"6100028","cold1","cold1","",""
"6100029","cold1","cold1","",""
"6100030","cold1","cold1","",""
"6100031","cold1","cold1","",""
"6100032","cold1","cold1","",""
"6100033","cold1","cold1","",""
"6100034","cold1","cold1","",""
"6100035","cold1","cold1","",""
"6100036","cold1","cold1","",""
"6100037","cold1","cold1","",""
"6100038","cold1","cold1","",""
"6100039","cold1","cold1","",""
"6100040","cold1","cold1","",""
"6100041","cold1","cold1","",""
"7000020","merlin1","merlin1","merlin2","merlin2"
"7000021","coma1","coma1","",""
"7000053","poi1","poi1","",""
"7000054","seirune2","seirune2","",""
"7000055","riddle1","riddle1","",""
"7000076","gludintel1","gludintel1","",""
"7000077","f_point","f_point","",""
"7000078","gawain01","gawain01","",""
"7000079","bosskey1","bosskey1","",""
"7000080","bosskey8","bosskey8","",""
"7000081","bosskey11","bosskey11","",""
"7000082","cgirana","cgirana","",""
"7000083","corcd","corcd","",""
"7000084","cgirana","cgirana","",""
"7000085","corcd","corcd","",""
"7000086","cgirana","cgirana","",""
"7000087","corcd","corcd","",""
"7000095","gumin","gumin","",""
"7000097","mobile_doll2","mobile_doll2","",""
"7200000","","","",""
"7200001","ctid","ctid","",""
"7200002","t_point","t_point","",""
"7200022","birthday1","birthday1","",""
"7200026","grayknight1","grayknight1","",""
"7210000","newbieddw1","newbieddw1","",""
"7210007","hamo2","hamo2","",""
"7210008","eldnas2","eldnas2","",""
"7210009","fd_death","fd_death","",""
"7210041","soul14_in_6","soul14_in_6","soul14_in_6",""
"7210042","crafttable","crafttable","",""
"7210043","crafttable","crafttable","",""
"7210044","crafttable","crafttable","",""
"7210045","crafttable","crafttable","",""
"7210046","crafttable","crafttable","",""
"7210047","GiantTomb_2","GiantTomb_2","",""
"7210048","GiantTomb_2","GiantTomb_2","",""
"7210049","mubni1","mubni1","",""
"7210052","crafttable","crafttable","",""
"7210053","crafttable","crafttable","",""
"7210054","crafttable","crafttable","",""
"7210055","cold1","cold1","",""
"7210056","cold1","cold1","",""
"7210057","cold1","cold1","",""
"7210058","cold1","cold1","",""
"7210059","cold1","cold1","",""
"7210061","cold1","cold1","",""
"7210062","cold1","cold1","",""
"7210063","cold1","cold1","",""
"7210064","cold1","cold1","",""
"7210065","cold1","cold1","",""
"7210066","cold1","cold1","",""
"7210067","cold1","cold1","",""
"7210068","cold1","cold1","",""
"7210069","cold1","cold1","",""
"7210070","cold1","cold1","",""
"7210071","crafttable","crafttable","",""
"7210072","crafttable","crafttable","",""
"7310085","talkinggate1","talkinggate1","",""
"7310086","fg_lucky","fg_lucky","",""
"7310087","crafttable","crafttable","",""
"7310088","orentel1","orentel1","orentel2",""
"7310089","adonis1","adonis1","adonis2","adonis2"
"7310093","pc_tell1","pc_tell1","",""
"7310099","fg_hidden","fg_hidden","",""
"7310100","bs_01","bs_01","",""
"7310101","soodor","soodor","",""
"7312087","crafttable","crafttable","",""
"81026666","halpas1","halpas1","",""
"460000127","crafttable","crafttable","",""
"460000128","crafttable","crafttable","",""
