"mapid","locationname","startX","endX","startY","endY","monster_amount","drop_rate","underwater","markable","teleportable","escapable","resurrection","painwand","penalty","take_pets","recall_pets","usable_item","usable_skill"
"288","象牙の塔：ヤヒ陣営7階(PC)","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"289","象牙の塔：ヤヒ陣営8階(PC)","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"290","隠された第3オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"291","隠された第4オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"300","アデン耐性","32832","32959","32448","32639","1","1","0","0","1","1","1","1","1","1","1","1","1"
"301","地下水に","32640","32767","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"302","セピアのダンジョン","32704","32767","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"303","夢幻の島","32576","32895","32576","32895","1","1","0","0","1","0","0","1","0","1","1","1","1"
"304","沈黙の洞窟","32576","32959","32704","33023","1","1","0","1","1","1","1","1","1","1","1","1","1"
"305","ブルーデジカメ巣窟","32704","32767","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"306","ダークエルフクエストダンジョン","32512","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"307","地下侵攻路1階","32704","32959","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"308","地下侵攻路2階","32704","33023","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"309","地下侵攻路3階","32704","33087","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"310","オームダンジョン","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"320","ディアド要塞","32640","33087","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"330","ブラックミスリル鉱山","32704","32767","32832","33023","1","1","0","0","1","1","1","1","1","1","1","1","1"
"340","グルーディン市場","32640","32831","32704","32895","1","1","0","0","0","1","1","0","1","0","0","1","1"
"350","ギラン市場","32640","32767","32768","32895","1","1","0","0","0","1","1","0","1","0","0","1","1"
"360","オーレン市場","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","0","0","1","1"
"370","はナイトの村の市場","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","0","0","1","1"
"371","思い出の話せる島","32256","32767","32768","33279","1","1","0","0","0","1","1","1","1","1","1","1","1"
"400","大空洞レジスタンス地域","32512","33023","32576","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"401","大空洞隠れ里地域","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"410","魔族の神殿","32704","32959","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"420","地底湖","32704","32831","32832","33087","1","1","1","0","1","1","1","1","1","0","0","1","1"
"430","精霊の墓","32704","32959","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"440","海賊島：前半部","32256","32767","32768","33279","1","1","0","0","1","1","1","1","1","1","1","1","1"
"441","海賊島のダンジョン1階","32640","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"442","海賊島のダンジョン2階","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"443","海賊島のダンジョン3階","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"444","海賊島のダンジョン4階","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"445","隠された船着場","32704","32831","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"446","海賊島→隠された船着場船","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","1","1","1","1"
"447","隠された船着場→海賊島倍","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","1","1","1","1"
"450","ラスタバド城：正門","32576","32831","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"451","ラスタバド城：集会場1F","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"452","ラスタバド城：突撃隊訓練場1F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"453","ラスタバド城：魔獣軍王の執務室1F","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"454","ラスタバド城：獣ジョギョシル1F","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"455","ラスタバド城：獣訓練室1F","32704","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"456","ラスタバド城：魔獣召喚室1F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"457","ラスタバド城：闇の結界1F","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"460","ラスタバド城：黒魔法の訓練場2F","32704","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"461","ラスタバド城：黒魔法研究室2F","32640","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"462","ラスタバド城：魔霊国王の執務室2F","32640","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"463","ラスタバド城：魔霊軍王の書斎2F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"464","ラスタバド城：精霊召喚室2F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"465","ラスタバド城：精霊の生息地2F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"466","ラスタバド城：闇の精霊研究室2F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"467","ラスタバド城：闇の結界2F","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"468","ラスタバド城：闇の結界2F","32576","32703","32832","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"470","ラスタバド城：悪霊の祭壇3F","32640","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"471","ラスタバド城：デビルロードの祭壇3F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"472","ラスタバド城：傭兵訓練場3F","32640","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"473","ラスタバド城：人ボプグンの訓練場3F","32704","32959","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"474","ラスタバド城：オーム実験室3F","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"475","ラスタバド城：冥法軍王の執務室3F","32640","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"476","ラスタバド城：中央管制室3F","32704","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"477","ラスタバド城：デビルロードのための病室3F","32704","32831","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"478","ラスタバド城：統制区域3F","32640","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"479","ラスタバド中央広場","32704","32959","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"480","海賊島：後半","32640","32895","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"481","カミラの部屋","32704","32767","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"482","フランコの迷路","32640","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"483","ディエゴの閉鎖刑務所","32704","32831","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"484","ホセの地下牢","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"490","ラスタバド城：地下訓練場","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"491","ラスタバド城：地下通路","32640","32767","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"492","ラスタバド城：暗殺軍王の執務室","32704","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"493","ラスタバド城：地下管制室","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"494","ラスタバド城：地下処刑場","32768","32895","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"495","ラスタバド城：地下決闘","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"496","ラスタバド城：ダンジョン","32768","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"500","KR_Event","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"501","KR_Event","32576","33215","32576","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"502","KR_Event","32576","33215","32576","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"503","KR_Event","32576","33215","32576","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"504","KR_Event","32576","33215","32576","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"505","KR_Event","32576","33215","32576","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"506","KR_Event","32576","33215","32576","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"507","KR_Event","32704","33023","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"508","KR_Event","32768","32895","33088","33215","1","1","0","0","0","1","1","1","1","1","1","1","1"
"509","カオス大戦","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"511","KR_Event","32576","33215","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"512","KR_Event","32576","33215","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"513","KR_Event","32576","33215","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"514","KR_Event","32576","33215","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"515","KR_Event","32576","33215","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"516","KR_Event","32576","33215","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"518","名前なし(竜関連)","32640","32831","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"521","影の神殿外郭","32576","32767","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"522","影の神殿1階","32576","32831","32832","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"523","影の神殿2階","32576","32831","32832","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"524","影の神殿3階","32576","32831","32832","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"530","ラスタバド城：グランカインの神殿/ケイ私の部屋","32704","32959","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"531","ラスタバド城：ビアタス/右メス/エンディアスの部屋","32704","32895","32704","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"532","ラスタバド城：ガーデン/イデアの部屋","32704","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"533","ラスタバド城：ティアメス/ラミアス/まさにドの部屋","32704","32895","32768","33023","1","1","0","0","1","1","1","1","1","1","1","1","1"
"534","ラスタバド城：カサンドラ/ダンテスの部屋","32704","32959","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"535","ダークエルフの聖地","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"536","ラスタバド城：4階入り口(3階暗黒の結界)","32704","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"537","呪われたダークエルフの聖地","32768","32895","32768","32959","1","1","0","0","0","1","0","1","0","1","1","1","1"
"541","アリの巣アルバンA","32704","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"542","アリの巣アルバンB","32704","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"543","女王アリカキ","32704","32895","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"550","船の墓場：地上層","32384","32895","32640","33151","1","1","0","0","0","1","1","1","1","1","1","1","1"
"551","船の墓場：船内","32640","32767","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"552","船の墓場：船内","32704","32767","32768","32895","1","1","1","0","0","1","1","1","1","0","0","1","1"
"553","船の墓場：船内","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"554","船の墓場：船内","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"555","船の墓場：船内","32704","32767","32768","32895","1","1","1","0","0","1","1","1","1","0","0","1","1"
"556","船の墓場：船内","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"557","船の墓場：船内","32704","32831","32768","32895","1","1","1","0","0","1","1","1","1","0","0","1","1"
"558","船の墓場：深海層","32704","33215","32768","33279","1","1","1","0","1","1","1","1","1","0","0","1","1"
"600","欲望の洞窟外郭","32704","32831","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"601","欲望の洞窟ロビー","32704","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"602","バルログ謁見所","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"603","バルログのアジト","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"604","波の部屋","32768","32895","32768","32895","1","1","1","0","1","1","1","1","1","0","0","1","1"
"605","火炎の部屋","32768","32895","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"606","嵐の部屋","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"607","地震の部屋","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"608","ヤヒの研究室","32640","32767","32832","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"610","桜の村","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"611","Cantonment JP Event(マップがない)","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"612","フルーツの森","32704","32831","32832","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"613","雪合戦会場","32640","32895","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"620","名前なし(バレンタイン宴会場同じ)","32768","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"621","受賞した村(リニューアル)","32640","32895","32768","32959","1","0","0","0","0","1","1","0","0","1","1","1","1"
"622","受賞した空の庭","32704","32895","32768","32895","1","0","0","0","0","1","1","0","0","1","1","1","1"
"623","カーツの訓練所1地域","32576","32895","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"630","空の城","32704","33023","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"631","2次元空間","32704","33023","32640","32959","0","0","0","0","0","1","1","1","1","1","1","1","1"
"632","ユーザー聖地1","32640","32959","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"653","受賞した刑務所1階(技監同じ)","32640","32895","32640","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"654","受賞した刑務所の2階(技監同じ)","32640","32895","32640","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"655","受賞した刑務所3階(技監同じ)","32640","32831","32704","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"656","受賞した刑務所4階(技監同じ)","32640","32895","32640","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"666","地獄","32640","32831","32704","32895","1","1","0","0","1","0","1","1","1","1","1","1","1"
"701","刑務所 - 新型","32640","32959","32576","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"725","名前なし - 大型コロシアム(リニューアルらしい)","33472","33663","32576","32767","1","1","0","0","0","1","1","1","1","1","1","1","1"
"726","名前なし - 大型コロシアム(リニューアルらしい)","32640","32767","32832","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"777","ポタン：グシン","32512","32767","32832","33087","1","1","0","0","1","1","1","1","1","1","1","1","1"
"778","ポタン：欲望","32704","32959","32640","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"779","ポタン：欲望(水中)","32832","32959","32704","32959","1","1","1","0","1","1","1","1","1","0","0","1","1"
"780","テーベ砂漠","32576","32831","32704","33087","1","1","0","0","1","1","1","1","1","1","1","1","1"
"781","テーベピラミッド内部","32704","33023","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"782","テーベオシリスの祭壇","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"783","ティカル寺院","32768","33279","32640","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"784","クウルカンの祭壇","32704","32767","32832","32895","1","1","0","0","0","1","1","0","1","1","1","1","1"
"785","狩猟イベント","32640","32959","32576","32895","1","1","0","0","1","1","0","1","1","1","1","1","1"
"786","狩猟イベント","32640","32959","32576","32895","1","1","0","0","1","1","0","1","1","1","1","1","1"
"787","狩猟イベント","32640","32959","32576","32895","1","1","0","0","1","1","0","1","1","1","1","1","1"
"788","狩猟イベント","32640","32959","32576","32895","1","1","0","0","1","1","0","1","1","1","1","1","1"
"789","狩猟イベント","32640","32959","32576","32895","1","1","0","0","1","1","0","1","1","1","1","1","1"
"790","暗黒の大空洞1区","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"791","暗黒の大空洞2区域","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"792","暗黒の大空洞3区域","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"793","暗黒の大空洞4区域","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"794","暗黒の大空洞5区","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"795","暗黒の大空洞6セクション","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"796","受賞した大空洞1区(PC)","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"797","受賞した大空洞2区域(PC)","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"798","受賞した大空洞3区(PC)","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"799","受賞した大空洞4区(PC)","32704","32959","32832","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"800","市場","32704","32895","32832","33023","1","1","0","0","1","1","1","0","1","0","0","1","1"
"807","グルーディンダンジョンリニューアル1階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"808","グルーディンダンジョンリニューアル2階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"809","グルーディンダンジョンリニューアル3階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"810","グルーディンダンジョンリニューアル4階","32640","32831","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"811","グルーディンダンジョンリニューアル5階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"812","グルーディンダンジョンリニューアル6階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"813","グルーディンダンジョンリニューアル7階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"814","水竜のダンジョン","32704","33215","32768","33279","1","1","1","0","1","1","1","0","0","1","1","1","1"
"815","赤い騎士団のトレーニングセンター","32640","32959","32576","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"820","ミンティスのソロタウン1","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"821","ミンティスのソロタウン2","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"822","ミンティスのソロタウン3","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"823","ミンティスのソロタウン4","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"824","ミンティスのソロタウン5","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"825","ミンティスのソロタウン6","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"826","ミンティスのソロタウン7","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"827","ミンティスのソロタウン1(PC)","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"828","ミンティスのソロタウン2(PC)","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"829","ミンティスのソロタウン3(PC)","32576","32895","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"997","Unknown","32704","32767","32768","32831","1","1","0","0","0","0","0","0","0","1","1","1","1"
"998","Hall of Honor","32704","32767","32768","32831","1","1","0","0","0","0","0","0","0","1","1","1","1"
"1000","シルベリア","32704","32895","32768","32959","1","1","0","1","1","1","1","1","1","1","1","1","1"
"1001","ベヒーモス","32704","32895","32768","32959","1","1","0","1","1","1","1","1","1","1","1","1","1"
"1002","隠された龍らの土地","32576","33087","32512","33023","1","1","0","0","0","1","1","1","1","0","0","1","1"
"1003","名前なし(モンソム+華東？)","32640","32895","32832","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1004","名前なし(モンソム同じ)","32512","32959","32512","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1005","アンタラスレイド","32576","32959","32576","32959","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1006","アンタラスレイド","32576","32959","32576","32959","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1007","アンタラスレイド","32576","32959","32576","32959","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1008","アンタラスレイド","32576","32959","32576","32959","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1009","アンタラスレイド","32576","32959","32576","32959","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1010","ヴァラカスレイド(ヤメ実装)","32576","32959","32576","32959","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1011","パプリオンレイド","32704","33087","32512","32895","1","1","1","0","0","1","1","1","0","0","0","1","1"
"1012","波プリオン洞窟","32704","33087","32512","32895","1","1","1","0","0","1","1","0","1","0","0","1","1"
"1013","波プリオン洞窟","32704","33087","32512","32895","1","1","1","0","0","1","1","0","1","0","0","1","1"
"1014","波プリオン洞窟","32704","33087","32512","32895","1","1","1","0","0","1","1","0","0","0","0","1","1"
"1015","波プリオン洞窟","32704","33087","32512","32895","1","1","1","0","0","1","1","0","0","0","0","1","1"
"1016","波プリオン洞窟","32704","33087","32512","32895","1","1","1","0","0","1","1","0","0","0","0","1","1"
"1017","リンドビオルレイド","32512","33023","32768","33279","1","1","0","0","0","1","1","1","0","0","0","1","1"
"1029","アンタラスの洞窟(闇)","32512","33023","32576","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1035","パプリオンの洞窟(闇)","32640","33151","32448","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1041","リンドビオルの洞窟(闇)","32512","33023","32768","33279","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1053","アンタラスの洞窟(恐怖)","32512","33023","32576","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1059","パプリオンの洞窟(恐怖)","32640","33151","32448","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1065","リンドビオルの洞窟(恐怖)","32512","33023","32768","33279","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1161","ヴァラカスの洞窟","32704","32831","32832","32959","1","1","0","0","1","0","0","0","1","1","1","1","1"
"1234","サイ会場(ギラン1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1259","サイ会場(オーレン1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1284","サイ会場(グルーディン1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1309","サイ会場(ナイト1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1400","第1の軍事訓練所","32768","32959","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1401","第2の軍事訓練所","32768","32959","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1402","第3の軍事訓練所","32768","32959","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1403","第4の軍事訓練所","32768","32959","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1404","第5軍事訓練所","32768","32959","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1405","第6軍の訓練所","32768","32959","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1501","ギフト普及に(ギラン1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1526","ギフト普及に(オーレン1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1551","ギフト普及に(グルーディン1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1576","ギフト普及に(ナイト1)","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1700","忘れられた島(リニューアル)","32576","33023","32640","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1701","忘れられた島[リニューアル]","32576","33023","32640","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1702","忘れられた島[リニューアル]","32576","33023","32640","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1703","ゴーレム研究所","32704","32959","32832","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1704","ゴーレム研究所2","32704","32959","32832","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1705","ゴーレム研究所3","32704","32959","32832","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1706","忘れられた島倍","32704","32831","32768","32831","0","1","0","0","0","1","1","1","1","1","0","1","0"
"1707","ゴーレム研究所5","32704","32767","33024","33087","1","1","0","0","1","1","1","1","1","1","1","1","1"
"1708","忘れられた島","32576","33023","32640","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1709","ゴーレム研究所","32704","32959","32832","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1710","イッソム控室","32704","32767","33024","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"1711","忘れられた島控室","32704","32831","32704","32831","1","1","0","0","0","0","1","1","0","1","1","1","1"
"1901","荒廃したダークエルフの聖地1区","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1902","荒廃したダークエルフの聖地2区域","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1903","荒廃したダークエルフの聖地3区域","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1904","荒廃したダークエルフの聖地4区域","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1905","荒廃したダークエルフの聖地5区","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1906","荒廃したダークエルフの聖地6セクション","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1907","受賞したダークエルフの聖地1区","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1908","受賞したダークエルフの聖地2区域","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1909","受賞したダークエルフの聖地3区域","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1910","受賞したダークエルフの聖地4区域","32576","32895","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1911","カーツの訓練所2地域","32576","32895","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1912","カーツの訓練所3地域","32576","32895","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1913","カーツの訓練所4地域","32576","32895","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"1914","カーツの訓練所5地域","32576","32895","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
